id_bien,no_voie,btq,type_voie,voie,type_local,surface_reelle_bati,nb_pieces_principales,surface_terrain,id_codedep_codecommune
30742,9001,,VC,RES LES RIVES DE DEAUVILLE,Appartement,43,1,,14557
30743,27,,,LES AVINAUX,Appartement,61,2,,18005
30744,38,,RUE,JEAN JAURES,Appartement,41,2,,19272
30745,29,F,BD,LAENNEC,Appartement,73,3,,22278
30746,25,B,RUE,CORDIERE,Appartement,65,3,,22278
30747,450,,AV,DES BOURDONNAS,Appartement,97,3,,26211
30748,14,,RUE,DE LA MADELEINE,Appartement,78,3,,27681
30749,25,,RUE,DU BOURG,Appartement,31,1,,28085
30750,16,,BD,CONDORCET,Appartement,64,3,,28404
30751,186,,RUE,JACQUELINE MAILLAN,Maison,79,4,,29019
30752,85,,CRS,NAPOLEON,Appartement,114,4,,2A004
30753,6,,RUE,CONVENTIONNEL CHIAPPE,Appartement,140,4,,2A004
30754,1,A,RES,DU PARC LUCIE LAVEZZI,Appartement,34,2,,2A004
30755,61,,AV,DE L EUROPE,Appartement,42,3,,30028
30756,110,,RUE,PIERRE BROSSOLETTE,Appartement,24,1,,30133
30757,25,,RUE,DE LA PAROISSE,Maison,90,3,,30202
30758,9,,AV,JEAN JAURES,Appartement,66,3,,30334
30759,17,,AV,DES TOURTERELLES,Appartement,66,4,,33011
30760,13,,RUE,PIERRE LOTI,Appartement,21,1,,33063
30761,2,,PL,ANDRE MEUNIER DIT MUREINE,Appartement,67,3,,33063
30762,185,,CRS,BALGUERIE STUTTENBERG,Appartement,46,2,,33063
30763,46,,AV,CHARLES DE GAULLE,Appartement,70,3,,33075
30764,40,,RUE,DES FRENES,Maison,70,3,,33080
30765,9001,,VGE,ARTS ET VIE,Appartement,24,1,,33097
30766,28,,RUE,ARISTIDE BRIAND,Appartement,72,4,,33119
30767,21,,RUE,DU ONZE NOVEMBRE 1918,Appartement,38,1,,33119
30768,45,,RTE,DE L HIPPODROMME,Maison,65,3,,33138
30769,34,,RUE,FONNEUVE,Appartement,85,2,,33243
30770,111,,RUE,PAUL DOUMER,Appartement,60,3,,33281
30771,1,,RUE,DES POILUS,Appartement,46,2,,33529
30772,29,,RUE,MICHEL LABARTHE,Appartement,73,4,,33529
30773,1,,RUE,LOUIS RUMEAU,Appartement,70,3,,34003
30774,9,,CAMI,DE CANTO RANO (GRENOUILLE),Appartement,82,4,,34324
30775,24,,RUE,DE FLEURIMONT,Appartement,17,1,,35236
30776,6,,RUE,DE LA CRECHE,Appartement,20,1,,35238
30777,10,,RUE,JACQUELINE AURIOL,Appartement,55,3,,35360
30778,7,,RUE,BAYARD,Appartement,17,1,,38185
30779,10,,CHE,DES ESSARTS,Appartement,68,3,,38185
30780,5555,,RES,LA MENANDIERE,Appartement,25,1,,38191
30781,22,,ALL,LES COQUELICOTS,Maison,97,5,,38309
30782,195,,RUE,DU COSSIE,Appartement,46,2,,38548
30783,5,B,RUE,VICTOR HUGO,Appartement,32,2,,40279
30784,7,,RUE,DE LA METARE,Appartement,105,6,,42218
30785,39,,RUE,FREDERIC CHOPIN,Appartement,42,2,,44047
30786,22,,RUE,DU PILORI (VC1),Appartement,35,1,,44049
30787,19,,RUE,MERCOEUR,Appartement,16,1,,44109
30788,8,,RUE,BABONEAU,Appartement,66,3,,44109
30789,12,,RUE,DOCTEUR VAN DER STAPPEN,Appartement,48,2,,44109
30790,9,B,RUE,SAINT LOUIS,Appartement,18,1,,44109
30791,10,,RUE,DU DANUBE,Appartement,87,5,,44162
30792,14,,BD,DU TERTRE,Appartement,55,2,,44162
30793,9,,RUE,SUZANNE LENGLEN,Appartement,47,2,,44162
30794,8,,RUE,D AGEN,Appartement,72,4,,44162
30795,2,,RUE,DES CALVAIRES,Appartement,61,3,,44162
30796,12,,RUE,DE BRETAGNE,Appartement,64,3,,44169
30797,8,,RUE,LOUISE MICHEL,Appartement,25,1,,44172
30798,39,,RUE,DU CDT GUSTAVE GATE,Appartement,35,2,,44184
30799,62,,AV,DE LA REPUBLIQUE,Appartement,40,2,,44184
30800,2,,AV,DES ERABLES,Maison,70,4,,44186
30801,417,,AV,DU LOIRET,Appartement,63,4,,45232
30802,3,,RUE,DES CLOCHES ST PAUL,Appartement,30,1,,45234
